"","aveSalary","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop","公司类别","公司规模","学历要求","工作经验","地区","对数薪资"
"82",17499.5,"0","0","1","0","0","0","1","0","0","0","0","0","民营公司","50-500人","本科",5,"北上深",9.76992758807486
"83",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","500-1000人","无",2,"北上深",9.76992758807486
"84",17499.5,"0","1","1","0","0","0","0","0","0","0","0","0","上市公司","50-500人","大专",0,"北上深",9.76992758807486
"85",17499.5,"0","1","0","0","0","0","1","1","0","0","0","0","民营公司","50-500人","本科",5,"北上深",9.76992758807486
"86",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","创业公司","500-1000人","本科",0,"北上深",9.76992758807486
"87",17499.5,"1","0","0","0","0","0","1","1","0","0","1","1","国企","1000-5000人","本科",3,"北上深",9.76992758807486
"88",17499.5,"0","0","0","0","0","1","0","0","0","0","0","1","民营公司","50-500人","研究生",3,"北上深",9.76992758807486
"89",17499.5,"1","1","0","0","0","0","0","1","0","0","0","0","外资","10000人以上","无",2,"北上深",9.76992758807486
"90",17499.5,"0","0","0","0","0","0","1","0","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"91",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",1,"北上深",9.76992758807486
"92",17499.5,"0","0","0","0","0","0","0","0","0","0","0","1","民营公司","50-500人","本科",1,"北上深",9.76992758807486
"93",17499.5,"0","1","1","0","0","0","1","0","0","0","0","0","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"94",17499.5,"1","0","1","0","0","0","0","0","0","0","0","1","民营公司","500-1000人","本科",0,"北上深",9.76992758807486
"95",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","50-500人","大专",1,"北上深",9.76992758807486
"96",17499.5,"1","0","0","1","0","0","1","0","0","0","0","0","上市公司","500-1000人","本科",0,"北上深",9.76992758807486
"97",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","外资","1000-5000人","本科",3,"北上深",9.76992758807486
"98",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","上市公司","500-1000人","本科",5,"北上深",9.76992758807486
"99",17499.5,"1","1","0","1","0","0","1","0","0","0","0","0","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"100",17499.5,"0","0","0","0","0","0","0","1","0","0","0","0","国企","5000-10000人","本科",3,"北上深",9.76992758807486
"101",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"102",17499.5,"1","0","0","0","0","0","1","1","0","0","0","0","民营公司","1000-5000人","本科",3,"北上深",9.76992758807486
"103",17499.5,"1","1","0","0","0","0","1","1","0","0","0","0","民营公司","500-1000人","本科",3,"北上深",9.76992758807486
"104",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","民营公司","1000-5000人","大专",5,"北上深",9.76992758807486
"105",17499.5,"1","0","0","1","0","0","0","0","0","0","1","1","民营公司","1000-5000人","本科",0,"北上深",9.76992758807486
"106",17499.5,"0","1","1","0","0","0","1","0","0","0","0","0","民营公司","5000-10000人","无",5,"北上深",9.76992758807486
"107",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","500-1000人","大专",1,"北上深",9.76992758807486
"108",17499.5,"1","0","0","1","0","1","1","0","0","0","1","1","民营公司","500-1000人","大专",2,"北上深",9.76992758807486
"109",17499.5,"0","1","0","1","1","1","0","0","0","0","1","1","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"110",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","无",0,"北上深",9.76992758807486
"111",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"112",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",5,"北上深",9.76992758807486
"113",17499.5,"0","0","0","1","0","1","0","0","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"114",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",5,"北上深",9.76992758807486
"115",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","50-500人","本科",1,"北上深",9.76992758807486
"116",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",5,"北上深",9.76992758807486
"117",17499.5,"1","0","1","0","0","0","1","0","0","0","0","0","民营公司","50-500人","无",3,"北上深",9.76992758807486
"118",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",3,"北上深",9.76992758807486
"119",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",0,"非北上深",9.76992758807486
"120",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","10000人以上","本科",9,"非北上深",9.76992758807486
"121",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","上市公司","10000人以上","本科",10,"非北上深",9.76992758807486
"122",17499.5,"1","0","0","0","0","0","0","0","0","0","1","0","民营公司","少于50人","本科",0,"非北上深",9.76992758807486
"123",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","10000人以上","无",0,"非北上深",9.76992758807486
"124",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","上市公司","10000人以上","本科",10,"非北上深",9.76992758807486
"125",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","民营公司","50-500人","大专",1,"北上深",9.76992758807486
"126",17499.5,"0","1","1","0","0","0","1","0","0","0","0","0","外资","50-500人","本科",0,"北上深",9.76992758807486
"127",17499.5,"0","0","0","1","0","0","0","0","0","0","0","0","合资","50-500人","无",1,"北上深",9.76992758807486
"128",17499.5,"0","0","1","0","0","0","1","0","0","0","0","0","民营公司","500-1000人","本科",2,"北上深",9.76992758807486
"129",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"130",17499.5,"1","1","0","0","0","0","1","0","0","0","0","1","国企","10000人以上","研究生",0,"北上深",9.76992758807486
"131",17499.5,"0","1","0","0","1","0","1","1","0","0","0","0","民营公司","50-500人","本科",1,"北上深",9.76992758807486
"132",17499.5,"0","1","1","0","0","0","0","0","0","0","0","0","民营公司","1000-5000人","研究生",0,"北上深",9.76992758807486
"133",17499.5,"0","0","1","0","0","0","1","0","0","0","0","0","民营公司","1000-5000人","本科",0,"北上深",9.76992758807486
"134",17499.5,"1","1","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"135",17499.5,"1","1","0","0","1","0","0","1","0","0","0","0","创业公司","50-500人","本科",2,"北上深",9.76992758807486
"136",17499.5,"0","1","0","1","0","1","1","1","0","1","0","1","国企","50-500人","本科",3,"北上深",9.76992758807486
"137",17499.5,"0","0","0","1","0","0","0","0","0","0","0","0","外资","50-500人","本科",2,"北上深",9.76992758807486
"138",17499.5,"1","1","0","0","0","0","0","0","0","0","1","1","合资","50-500人","本科",2,"北上深",9.76992758807486
"139",17499.5,"1","0","1","0","0","0","0","1","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"140",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","外资","少于50人","本科",2,"北上深",9.76992758807486
"141",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",6,"北上深",9.76992758807486
"142",17499.5,"0","0","0","1","0","0","1","0","0","0","0","1","外资","50-500人","本科",2,"北上深",9.76992758807486
"143",17499.5,"1","0","1","0","0","0","1","1","0","0","0","0","民营公司","50-500人","本科",6,"北上深",9.76992758807486
"144",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","上市公司","5000-10000人","本科",2,"北上深",9.76992758807486
"145",17499.5,"0","0","0","0","0","0","1","0","0","0","0","0","民营公司","50-500人","本科",6,"北上深",9.76992758807486
"146",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","1000-5000人","本科",3,"北上深",9.76992758807486
"147",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","1000-5000人","研究生",2,"北上深",9.76992758807486
"148",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","国企","1000-5000人","本科",3,"北上深",9.76992758807486
"149",17499.5,"1","0","0","1","0","1","1","0","0","0","0","1","民营公司","1000-5000人","无",0,"北上深",9.76992758807486
"150",17499.5,"1","1","0","0","0","0","0","1","0","0","0","0","民营公司","1000-5000人","本科",6,"北上深",9.76992758807486
"151",17499.5,"0","0","0","0","0","0","1","0","0","0","0","0","民营公司","50-500人","无",1,"北上深",9.76992758807486
"152",17499.5,"0","0","1","0","0","0","0","1","0","0","0","0","合资","5000-10000人","本科",0,"北上深",9.76992758807486
"153",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","合资","1000-5000人","无",3,"北上深",9.76992758807486
"154",17499.5,"1","1","0","0","0","0","0","1","0","0","0","0","民营公司","50-500人","大专",3,"北上深",9.76992758807486
"155",17499.5,"0","0","0","1","0","1","1","0","0","0","0","1","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"156",17499.5,"0","0","0","0","0","0","0","0","0","0","0","1","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"157",17499.5,"0","0","0","0","0","0","0","0","0","0","0","0","民营公司","50-500人","研究生",2,"北上深",9.76992758807486
"158",17499.5,"0","1","0","0","0","0","1","1","0","0","0","0","民营公司","50-500人","本科",0,"北上深",9.76992758807486
"159",17499.5,"0","0","0","1","0","0","0","0","0","0","0","0","民营公司","50-500人","本科",2,"北上深",9.76992758807486
"160",17499.5,"0","1","1","0","0","0","0","1","0","0","0","0","民营公司","50-500人","本科",3,"北上深",9.76992758807486
"161",17499.5,"0","0","1","0","0","0","0","0","0","0","0","0","民营公司","500-1000人","大专",3,"北上深",9.76992758807486
"162",17499.5,"1","1","0","1","0","1","1","1","0","0","0","0","民营公司","500-1000人","本科",2,"北上深",9.76992758807486
"163",17499.5,"1","1","1","0","0","0","1","1","0","0","0","0","合资","50-500人","本科",3,"北上深",9.76992758807486
"164",17499.5,"1","1","0","0","0","0","1","1","0","0","0","0","合资","500-1000人","本科",2,"北上深",9.76992758807486
"165",17499.5,"1","1","0","0","0","0","1","1","0","0","0","1","上市公司","500-1000人","本科",3,"北上深",9.76992758807486
"166",17499.5,"1","0","0","0","1","0","0","0","0","0","0","0","民营公司","少于50人","研究生",2,"北上深",9.76992758807486
