"","offertype","season","type","cross","rl","intern","research","paper","first","sci","exchange","CollegeRankTop50","gpa_dis","toefl_dis","gre_dis","major_apply_new"
"6237","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","EE"
"6657","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","<=98","315~320","Stat/Biostat"
"9774","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","315~320","CS"
"2369","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","CivilEng"
"2692","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","<=315","CS"
"4439","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","Stat/Biostat"
"4729","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","320~325","CE"
"123","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","Stat/Biostat"
"885","1","Fall","MS",0,0,1,1,0,0,0,1,"Top50","3.55~3.7",">106",">330","CS"
"6272","0","Fall","MS",0,0,1,1,0,0,0,1,"Top50","3.55~3.7",">106",">330","EE"
"8138","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","320~325","EE"
"3552","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","MIS"
"8910","1","Spring","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","EE"
"4850","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7","98~102","325~330","CS"
"3472","1","Fall","MS",1,0,0,0,0,0,0,0,"Others","<=3.4",">106","325~330","EE"
"7944","1","Fall","MS",0,0,1,0,1,0,0,0,"Top50","3.55~3.7","98~102","320~325","CS"
"34","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"5394","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","CS"
"5754","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4",">106","320~325","CS"
"279","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","325~330","CS"
"9175","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"5121","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others",">3.7","98~102","320~325","ME"
"2723","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"331","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","CS"
"7805","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","CS"
"9298","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"8006","0","Fall","MS",0,0,1,0,0,0,0,0,"Top50","<=3.4","102~106","325~330","CS"
"1539","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","IEOR"
"8966","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106",">330","MFE/Fin/FinMath"
"290","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","CS"
"6941","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","<=315","CE"
"5964","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50","3.55~3.7","<=98","315~320","CS"
"7977","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"9541","0","Fall","MS",0,0,1,0,0,0,0,0,"Others","3.55~3.7","98~102","315~320","CS"
"3333","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","CS"
"2916","1","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","102~106","320~325","CS"
"7825","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4",">106","320~325","MIS"
"6308","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","98~102","320~325","EE"
"9198","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"8898","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","EE"
"6245","0","Fall","MS",1,0,0,0,0,0,0,0,"Top50","<=3.4",">106","325~330","EE"
"4037","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","98~102","320~325","EE"
"8602","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","CS"
"4347","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","315~320","CS"
"8967","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55","102~106","325~330","MFE/Fin/FinMath"
"7496","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","<=3.4","98~102","320~325","EE"
"5662","1","Fall","MS",0,0,0,0,0,0,0,1,"Top50",">3.7",">106","325~330","CS"
"1999","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55","<=98","320~325","CS"
"4355","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"3957","1","Spring","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","325~330","CS"
"5664","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","320~325","CS"
"10032","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","EE"
"4569","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","98~102","320~325","CS"
"1598","0","Fall","MS",0,0,0,0,0,0,0,0,"Top50",">3.7","102~106",">330","MFE/Fin/FinMath"
"5671","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7","102~106","325~330","CS"
"5245","0","Fall","MS",0,0,0,0,0,0,0,0,"Others",">3.7","<=98","320~325","EE"
"1371","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50",">3.7","102~106","320~325","CS"
"6819","0","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7","<=98","320~325","CS"
"8918","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.55~3.7",">106","320~325","EE"
"317","1","Fall","MS",1,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","320~325","CS"
"6910","1","Fall","PhD",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","315~320","Others"
"6628","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.55~3.7",">106","325~330","MFE/Fin/FinMath"
"9380","1","Fall","MS",0,0,0,1,0,0,0,1,"Others",">3.7","98~102","320~325","EE"
"7067","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","3.4~3.55",">106","320~325","EE"
"5362","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","<=98","<=315","ME"
"9854","1","Fall","MS",0,0,0,0,0,0,0,1,"Others","3.55~3.7","<=98","320~325","ME"
"8758","1","Spring","MS",0,0,0,1,0,0,0,0,"Others","3.4~3.55",">106","320~325","Others"
"7068","1","Fall","MS",1,0,0,0,0,0,0,0,"Others",">3.7","102~106","325~330","EE"
"6802","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.4~3.55","<=98","315~320","CS"
"5274","1","Fall","MS",0,0,0,0,0,0,0,0,"Others","<=3.4","102~106","315~320","IEOR"
"10054","1","Fall","PhD",0,0,1,0,0,0,0,0,"Others","<=3.4","<=98","315~320","Others"
"6318","1","Fall","MS",0,0,0,1,0,0,0,0,"Top50",">3.7","98~102","320~325","EE"
"6296","1","Fall","MS",0,0,0,1,0,1,1,0,"Top50","3.55~3.7","98~102","320~325","EE"
"7699","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","320~325","Others"
"7700","1","Fall","MS",0,0,1,0,0,0,0,0,"Others","<=3.4","102~106","315~320","Others"
"6629","1","Fall","MS",0,0,0,0,0,0,0,0,"Top50","3.4~3.55",">106","325~330","MFE/Fin/FinMath"
"4346","0","Fall","MS",1,0,0,0,0,0,0,0,"Others","3.55~3.7","102~106","320~325","CS"
